athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,plus_minus,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date,athlete_headshot_href
Sophia Witherspoon,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,11,S. Witherspoon,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220809015,2002,2,2002-08-10,
Marie  Ferdinand-Harris,Starzz,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,28,M. Ferdinand-Harris,Guard,G,Starzz,,15,UTH,,220809015,2002,2,2002-08-10,
Jennifer Azzi,Starzz,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,24,J. Azzi,Not Available,NA,Starzz,,15,UTH,,220809015,2002,2,2002-08-10,
Margo Dydek,Starzz,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,27,M. Dydek,Not Available,NA,Starzz,,15,UTH,,220809015,2002,2,2002-08-10,
Adrienne Goodson,Starzz,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,30,A. Goodson,Not Available,NA,Starzz,,15,UTH,,220809015,2002,2,2002-08-10,
Natalie Williams,Starzz,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,33,N. Williams,Not Available,NA,Starzz,,15,UTH,,220809015,2002,2,2002-08-10,
Elisa Aguilar,Starzz,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,23,E. Aguilar,Not Available,NA,Starzz,,15,UTH,,220809015,2002,2,2002-08-10,
Danielle Crockrom,Starzz,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,26,D. Crockrom,Not Available,NA,Starzz,,15,UTH,,220809015,2002,2,2002-08-10,
Andrea Gardner,Starzz,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,29,A. Gardner,Not Available,NA,Starzz,,15,UTH,,220809015,2002,2,2002-08-10,
Amy Herrig,Starzz,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,31,A. Herrig,Not Available,NA,Starzz,,15,UTH,,220809015,2002,2,2002-08-10,
LaTonya Johnson,Starzz,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,228,L. Johnson,Not Available,NA,Starzz,,15,UTH,,220809015,2002,2,2002-08-10,
Semeka Randall,Starzz,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,,333,S. Randall,Not Available,NA,Starzz,,15,UTH,,220809015,2002,2,2002-08-10,
Katie Douglas,Miracle,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,23,156,K. Douglas,Guard,G,Miracle,,10,ORL,,220722006,2002,2,2002-07-23,
Shannon Johnson,Miracle,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,230,S. Johnson,Not Available,NA,Miracle,,10,ORL,,220722006,2002,2,2002-07-23,
Clarisse Machanguana,Miracle,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,267,C. Machanguana,Not Available,NA,Miracle,,10,ORL,,220722006,2002,2,2002-07-23,
Wendy Palmer,Miracle,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,317,W. Palmer,Not Available,NA,Miracle,,10,ORL,,220722006,2002,2,2002-07-23,
Nykesha Sales,Miracle,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,349,N. Sales,Not Available,NA,Miracle,,10,ORL,,220722006,2002,2,2002-07-23,
Cintia Dos Santos,Miracle,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,155,C. Dos Santos,Not Available,NA,Miracle,,10,ORL,,220722006,2002,2,2002-07-23,
Jessie Hicks,Miracle,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,,209,J. Hicks,Not Available,NA,Miracle,,10,ORL,,220722006,2002,2,2002-07-23,
Adrienne Johnson,Miracle,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,,226,A. Johnson,Not Available,NA,Miracle,,10,ORL,,220722006,2002,2,2002-07-23,
Tiffany McCain,Miracle,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,280,T. McCain,Not Available,NA,Miracle,,10,ORL,,220722006,2002,2,2002-07-23,
Brooke Wyckoff,Miracle,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,442,B. Wyckoff,Not Available,NA,Miracle,,10,ORL,,220722006,2002,2,2002-07-23,
Davalyn Cunningham,Miracle,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,451,D. Cunningham,Not Available,NA,Miracle,,10,ORL,,220722006,2002,2,2002-07-23,
DeLisha Milton-Jones,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,1,9,D. Milton-Jones,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220722006,2002,2,2002-07-23,
Tamecka Dixon,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,3,T. Dixon,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220722006,2002,2,2002-07-23,
Lisa Leslie,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,6,L. Leslie,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220722006,2002,2,2002-07-23,
Mwadi Mabika,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,7,M. Mabika,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220722006,2002,2,2002-07-23,
Nikki Teasley,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,10,N. Teasley,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220722006,2002,2,2002-07-23,
Erika de Souza,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,14,2,E. de Souza,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220722006,2002,2,2002-07-23,
Latasha Byears,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,1,L. Byears,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220722006,2002,2,2002-07-23,
Vedrana Grgin Fonseca,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,4,V. Grgin Fonseca,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220722006,2002,2,2002-07-23,
Nicky McCrimmon,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,8,N. McCrimmon,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220722006,2002,2,2002-07-23,
Sophia Witherspoon,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,,11,S. Witherspoon,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220722006,2002,2,2002-07-23,
Marlies Askamp,Sparks,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,63,M. Askamp,Not Available,NA,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,6,LOS,532481,220722006,2002,2,2002-07-23,
Tammy  Sutton-Brown,Sting,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,8,384,T. Sutton-Brown,Center,C,Sting,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,1,CHA,,220722005,2002,2,2002-07-23,
Allison Feaster,Sting,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,167,A. Feaster,Not Available,NA,Sting,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,1,CHA,,220722005,2002,2,2002-07-23,
Charlotte Smith,Sting,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,364,C. Smith,Not Available,NA,Sting,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,1,CHA,,220722005,2002,2,2002-07-23,
Dawn Staley,Sting,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,375,D. Staley,Not Available,NA,Sting,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,1,CHA,,220722005,2002,2,2002-07-23,
Andrea Stinson,Sting,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,TRUE,,380,A. Stinson,Not Available,NA,Sting,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,1,CHA,,220722005,2002,2,2002-07-23,
Kelly  Miller,Sting,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,2,292,K. Miller,Guard,G,Sting,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,1,CHA,,220722005,2002,2,2002-07-23,
