game_id,season,season_type,game_date,game_date_time,athlete_id,athlete_display_name,team_id,team_name,team_location,team_short_display_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,active,athlete_jersey,athlete_short_name,athlete_position_name,athlete_position_abbreviation,team_display_name,team_uid,team_slug,team_logo,team_abbreviation,team_color,team_alternate_color,home_away,team_winner,team_score,opponent_team_id,opponent_team_name,opponent_team_location,opponent_team_display_name,opponent_team_abbreviation,opponent_team_logo,opponent_team_color,opponent_team_alternate_color,opponent_team_score,athlete_headshot_href
260909003,2006,3,2006-09-09,2006-09-09T19:30:00Z,416,DeMya Chakheia Walker,13,Monarchs,Sacramento,Monarchs,29,4,14,0,0,0,0,2,1,3,1,3,1,3,4,-1,8,TRUE,FALSE,FALSE,TRUE,,D. Walker,Forward,F,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,75,3,Shock,Detroit,Detroit Shock,TUL,,11213e,c5d646,80,
260909003,2006,3,2006-09-09,2006-09-09T19:30:00Z,538,Nicole Powell,13,Monarchs,Sacramento,Monarchs,25,2,7,1,3,4,4,1,5,6,1,1,0,1,4,-1,9,TRUE,FALSE,FALSE,TRUE,14,N. Powell,Forward,F,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,75,3,Shock,Detroit,Detroit Shock,TUL,,11213e,c5d646,80,
260909003,2006,3,2006-09-09,2006-09-09T19:30:00Z,321,Ticha  Penicheiro,13,Monarchs,Sacramento,Monarchs,18,1,8,0,1,3,6,0,2,2,2,0,0,1,0,-1,5,TRUE,FALSE,FALSE,FALSE,21,T. Penicheiro,Guard,G,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,75,3,Shock,Detroit,Detroit Shock,TUL,,11213e,c5d646,80,
260909003,2006,3,2006-09-09,2006-09-09T19:30:00Z,485,Kara Lawson,13,Monarchs,Sacramento,Monarchs,31,7,10,2,4,1,1,2,0,2,1,1,0,1,2,-1,17,TRUE,FALSE,FALSE,TRUE,20,K. Lawson,Guard,G,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,75,3,Shock,Detroit,Detroit Shock,TUL,,11213e,c5d646,80,
260909003,2006,3,2006-09-09,2006-09-09T19:30:00Z,192,Yolanda Griffith,13,Monarchs,Sacramento,Monarchs,32,3,11,0,0,5,6,4,5,9,2,2,1,0,3,-1,11,TRUE,FALSE,FALSE,TRUE,,Y. Griffith,Not Available,NA,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,75,3,Shock,Detroit,Detroit Shock,TUL,,11213e,c5d646,80,
260909003,2006,3,2006-09-09,2006-09-09T19:30:00Z,571,Rebekkah Brunson,13,Monarchs,Sacramento,Monarchs,4,2,4,0,0,0,0,0,2,2,0,0,1,1,4,-1,4,FALSE,FALSE,FALSE,FALSE,32,R. Brunson,Forward,F,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,75,3,Shock,Detroit,Detroit Shock,TUL,,11213e,c5d646,80,
260909003,2006,3,2006-09-09,2006-09-09T19:30:00Z,664,Scholanda  Dorrell,13,Monarchs,Sacramento,Monarchs,6,0,3,0,1,0,0,0,1,1,1,2,0,3,0,-1,0,FALSE,FALSE,FALSE,FALSE,5,S. Dorrell,Guard,G,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,75,3,Shock,Detroit,Detroit Shock,TUL,,11213e,c5d646,80,
260909003,2006,3,2006-09-09,2006-09-09T19:30:00Z,112,Erin Buescher,13,Monarchs,Sacramento,Monarchs,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,FALSE,FALSE,FALSE,FALSE,,E. Buescher,Not Available,NA,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,75,3,Shock,Detroit,Detroit Shock,TUL,,11213e,c5d646,80,
260909003,2006,3,2006-09-09,2006-09-09T19:30:00Z,270,Hamchetou Maiga-Ba,13,Monarchs,Sacramento,Monarchs,19,3,7,0,0,2,2,1,0,1,1,1,0,0,3,-1,8,FALSE,FALSE,FALSE,FALSE,,H. Maiga-Ba,Not Available,NA,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,75,3,Shock,Detroit,Detroit Shock,TUL,,11213e,c5d646,80,
260909003,2006,3,2006-09-09,2006-09-09T19:30:00Z,636,Kristin Haynie,13,Monarchs,Sacramento,Monarchs,17,5,8,2,5,1,1,0,3,3,5,1,0,0,2,-1,13,FALSE,FALSE,FALSE,TRUE,,K. Haynie,Not Available,NA,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,75,3,Shock,Detroit,Detroit Shock,TUL,,11213e,c5d646,80,
