game_id,season,season_type,game_date,game_date_time,athlete_id,athlete_display_name,team_id,team_name,team_location,team_short_display_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,active,athlete_jersey,athlete_short_name,athlete_position_name,athlete_position_abbreviation,team_display_name,team_uid,team_slug,team_logo,team_abbreviation,team_color,team_alternate_color,home_away,team_winner,team_score,opponent_team_id,opponent_team_name,opponent_team_location,opponent_team_display_name,opponent_team_abbreviation,opponent_team_logo,opponent_team_color,opponent_team_alternate_color,opponent_team_score,athlete_headshot_href
230916003,2003,3,2003-09-16,2003-09-17T00:00:00Z,122,Swin Cash,3,Shock,Detroit,Shock,35,5,14,0,1,3,6,3,9,12,9,0,0,3,2,-1,13,TRUE,FALSE,FALSE,TRUE,32,S. Cash,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,,TUL,11213e,c5d646,home,TRUE,83,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,78,
230916003,2003,3,2003-09-16,2003-09-17T00:00:00Z,479,Cheryl Ford,3,Shock,Detroit,Shock,29,3,7,0,0,4,4,2,9,11,0,1,1,1,4,-1,10,TRUE,FALSE,FALSE,TRUE,32,C. Ford,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,,TUL,11213e,c5d646,home,TRUE,83,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,78,
230916003,2003,3,2003-09-16,2003-09-17T00:00:00Z,341,Ruth Riley,3,Shock,Detroit,Shock,33,11,19,0,0,5,6,4,2,6,3,0,3,0,3,-1,27,TRUE,FALSE,FALSE,TRUE,00,R. Riley,Center,C,Detroit Shock,s:40~l:59~t:3,detroit-shock,,TUL,11213e,c5d646,home,TRUE,83,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,78,
230916003,2003,3,2003-09-16,2003-09-17T00:00:00Z,312,Deanna  Nolan,3,Shock,Detroit,Shock,25,4,11,3,6,6,6,1,0,1,4,1,1,1,4,-1,17,TRUE,FALSE,FALSE,TRUE,,D. Nolan,Guard,G,Detroit Shock,s:40~l:59~t:3,detroit-shock,,TUL,11213e,c5d646,home,TRUE,83,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,78,
230916003,2003,3,2003-09-16,2003-09-17T00:00:00Z,328,Elaine Powell,3,Shock,Detroit,Shock,36,3,6,0,2,1,2,0,1,1,5,2,1,2,3,-1,7,TRUE,FALSE,FALSE,TRUE,,E. Powell,Not Available,NA,Detroit Shock,s:40~l:59~t:3,detroit-shock,,TUL,11213e,c5d646,home,TRUE,83,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,78,
230916003,2003,3,2003-09-16,2003-09-17T00:00:00Z,166,Barbara Farris,3,Shock,Detroit,Shock,13,1,3,0,0,2,2,1,0,1,0,0,0,1,1,-1,4,FALSE,FALSE,FALSE,FALSE,,B. Farris,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,,TUL,11213e,c5d646,home,TRUE,83,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,78,
230916003,2003,3,2003-09-16,2003-09-17T00:00:00Z,214,Kedra Holland-Corn,3,Shock,Detroit,Shock,17,1,2,1,2,2,2,0,0,0,0,1,0,2,1,-1,5,FALSE,FALSE,FALSE,FALSE,,K. Holland-Corn,Not Available,NA,Detroit Shock,s:40~l:59~t:3,detroit-shock,,TUL,11213e,c5d646,home,TRUE,83,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,78,
230916003,2003,3,2003-09-16,2003-09-17T00:00:00Z,251,Sheila Lambert,3,Shock,Detroit,Shock,,,,,,,,,,,,,,,,--,,FALSE,FALSE,FALSE,FALSE,,S. Lambert,Not Available,NA,Detroit Shock,s:40~l:59~t:3,detroit-shock,,TUL,11213e,c5d646,home,TRUE,83,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,78,
230916003,2003,3,2003-09-16,2003-09-17T00:00:00Z,308,Astou Ndiaye-Diatta,3,Shock,Detroit,Shock,,,,,,,,,,,,,,,,--,,FALSE,FALSE,FALSE,FALSE,,A. Ndiaye-Diatta,Not Available,NA,Detroit Shock,s:40~l:59~t:3,detroit-shock,,TUL,11213e,c5d646,home,TRUE,83,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,78,
230916003,2003,3,2003-09-16,2003-09-17T00:00:00Z,392,Stacey Thomas,3,Shock,Detroit,Shock,,,,,,,,,,,,,,,,--,,FALSE,FALSE,FALSE,FALSE,,S. Thomas,Not Available,NA,Detroit Shock,s:40~l:59~t:3,detroit-shock,,TUL,11213e,c5d646,home,TRUE,83,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,78,
230916003,2003,3,2003-09-16,2003-09-17T00:00:00Z,414,Ayana Walker,3,Shock,Detroit,Shock,,,,,,,,,,,,,,,,--,,FALSE,FALSE,FALSE,FALSE,,A. Walker,Not Available,NA,Detroit Shock,s:40~l:59~t:3,detroit-shock,,TUL,11213e,c5d646,home,TRUE,83,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,78,
230907006,2003,3,2003-09-07,2003-09-08T02:30:00Z,416,DeMya Chakheia Walker,13,Monarchs,Sacramento,Monarchs,29,2,11,0,0,1,4,3,3,6,2,0,1,5,1,-1,5,TRUE,FALSE,FALSE,TRUE,,D. Walker,Forward,F,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,54,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,79,
230907006,2003,3,2003-09-07,2003-09-08T02:30:00Z,369,Tangela  Smith,13,Monarchs,Sacramento,Monarchs,32,6,17,1,2,2,2,2,8,10,2,2,0,4,3,-1,15,TRUE,FALSE,FALSE,TRUE,50,T. Smith,Center,C,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,54,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,79,
230907006,2003,3,2003-09-07,2003-09-08T02:30:00Z,321,Ticha  Penicheiro,13,Monarchs,Sacramento,Monarchs,5,0,2,0,1,0,0,1,0,1,0,0,1,0,0,-1,0,TRUE,FALSE,FALSE,FALSE,21,T. Penicheiro,Guard,G,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,54,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,79,
230907006,2003,3,2003-09-07,2003-09-08T02:30:00Z,119,Edna Campbell,13,Monarchs,Sacramento,Monarchs,21,3,8,1,3,0,0,0,1,1,3,1,0,1,1,-1,7,TRUE,FALSE,FALSE,TRUE,,E. Campbell,Not Available,NA,Sacramento Monarchs,s:40~l:59~t:13,sacramento-monarchs,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,SAC,,,away,FALSE,54,6,Sparks,Los Angeles,Los Angeles Sparks,LOS,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,532481,49ac9c,79,
