game_id,season,season_type,game_date,game_date_time,athlete_id,athlete_display_name,team_id,team_name,team_location,team_short_display_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,active,athlete_jersey,athlete_short_name,athlete_position_name,athlete_position_abbreviation,team_display_name,team_uid,team_slug,team_abbreviation,team_color,team_alternate_color,home_away,team_winner,team_score,opponent_team_id,opponent_team_name,opponent_team_location,opponent_team_display_name,opponent_team_abbreviation,opponent_team_logo,opponent_team_color,opponent_team_alternate_color,opponent_team_score,athlete_headshot_href,team_logo
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,831,Adrianne Ross,17,Silver Stars,San Antonio,Silver Stars,,,,,,,,,,,,,,,,--,,FALSE,FALSE,FALSE,TRUE,,A. Ross,Not Available,NA,San Antonio Silver Stars,s:40~l:59~t:17,san-antonio-silver-stars,SAS,000000,c7cfd4,away,FALSE,60,3,Shock,Detroit,Detroit Shock,TUL,,11213e,c5d646,76,,
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,286,Taj McWilliams-Franklin,3,Shock,Detroit,Shock,36,5,12,0,0,3,3,3,5,8,2,1,2,4,4,-1,13,TRUE,FALSE,FALSE,FALSE,,T. McWilliams-Franklin,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,640,Kara Braxton,3,Shock,Detroit,Shock,19,4,13,0,0,1,2,6,3,9,0,1,0,2,2,-1,9,TRUE,FALSE,FALSE,FALSE,45,K. Braxton,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,40,Katie Smith,3,Shock,Detroit,Shock,30,6,11,2,2,4,4,0,6,6,1,0,0,1,2,-1,18,TRUE,FALSE,FALSE,FALSE,30,K. Smith,Guard,G,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,312,Deanna  Nolan,3,Shock,Detroit,Shock,38,5,21,2,5,0,0,3,1,4,5,3,0,2,2,-1,12,TRUE,FALSE,FALSE,FALSE,,D. Nolan,Guard,G,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,328,Elaine Powell,3,Shock,Detroit,Shock,8,1,1,0,0,1,1,1,0,1,1,0,0,0,2,-1,3,TRUE,FALSE,FALSE,FALSE,,E. Powell,Not Available,NA,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,350,Sheri Sam,3,Shock,Detroit,Shock,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,-1,0,FALSE,FALSE,FALSE,TRUE,,S. Sam,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,479,Cheryl Ford,3,Shock,Detroit,Shock,,,,,,,,,,,,,,,,--,,FALSE,FALSE,FALSE,FALSE,32,C. Ford,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,491,Plenette Pierson,3,Shock,Detroit,Shock,12,3,5,0,0,0,0,0,1,1,1,0,1,4,2,-1,6,FALSE,FALSE,FALSE,FALSE,22,P. Pierson,Forward,F,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
281005003,2008,3,2008-10-05,2008-10-05T20:30:00Z,828,Alexis Hornbuckle,3,Shock,Detroit,Shock,26,2,6,2,3,3,4,3,6,9,5,1,0,0,3,-1,9,FALSE,FALSE,FALSE,TRUE,14,A. Hornbuckle,Guard,G,Detroit Shock,s:40~l:59~t:3,detroit-shock,TUL,11213e,c5d646,home,TRUE,76,17,Silver Stars,San Antonio,San Antonio Silver Stars,SAS,,000000,c7cfd4,60,,
